Roberto  Livianu,  trandafir5977@uorak.com 
Christina  Stephano ,  lizandro4390@uorak.com 
Robert  Creeley, jorn858@uorak.com 
Roberto  Gambini,  dayanna7275@uorak.com 
Rosario  Fusco,  cuihua2797@uorak.com 
Flo  Menezes, cuihua277@uorak.com 
José  Paulo , cuihua279@uorak.com 
Francisco  Rocha, cuihua797@uorak.com 
Ademir  Assunção, cuihua27917@uorak.com 
Renato  Janine , cuihua27970@uorak.com 
Gil  Perini, cuihua276@uorak.com 
Enric  Satué, cuihua5797@uorak.com 
João  Alexandre , cuihia2797@uorak.com 
Carlos  Horcades,  cuihua279437@uorak.com
